,H
0,1.0874419634976122e-192
1,1.6962036095335081e-171
2,2.4912640123388575e-164
3,2.232482659964601e-157
4,1.1925258296822938e-150
5,-2.6014703006416895e-144
6,-1.5579659611271283e-136
7,-2.0553421663330385e-129
8,-1.715575841470809e-122
9,-7.880271437598959e-116
10,4.220959136872354e-109
11,1.3931556068123687e-101
12,1.6753245768541246e-94
13,1.299281097673643e-87
14,4.850966807933916e-81
15,-5.095827320547543e-74
16,-1.219209903127604e-66
17,-1.349750161161385e-59
18,-9.676498368720545e-53
19,-2.6223119346589844e-46
20,5.4296660401878055e-39
21,1.0479030989769431e-31
22,1.074974370951942e-24
23,7.063603055466947e-18
24,1.018056048292364e-11
25,0.00010809627953868182
26,0.0004228117171017005
27,0.0007350941685443166
28,0.00104421502967344
29,0.001349462122028141
30,0.0016501329400490919
31,0.0019455363104755653
32,0.002234994029729474
33,0.002517842475279443
34,0.0027934341870109554
35,0.0030611394146766117
36,0.003320347627554929
37,0.0035704689825039643
38,0.003810935746691574
39,0.0040412036713582955
40,0.0042607533130700264
41,0.004469091299014253
42,0.004665751533007276
43,0.004850296339022444
44,0.005022317539166614
45,0.005181437463182357
46,0.005327309886686683
47,0.00545962089552708
48,0.005578089673812321
49,0.005682469213334342
50,0.005772546942287884
51,0.005848145271358809
52,0.005909122055471633
53,0.00595537096968444
54,0.005986821797914799
55,0.006003440633397899
56,0.0060052299899675645
57,0.005992228823505885
58,0.005964512463113866
59,0.005922192451778363
60,0.005865416296539731
61,0.005794367128373784
62,0.005709263272270197
63,0.005610357728197026
64,0.00549793756387657
65,0.005372323220522942
66,0.005233867732912394
67,0.005082955865415005
68,0.004920003165817547
69,0.0047454549389975825
70,0.00455978514271614
71,0.004363495208014789
72,0.004157112786928864
73,0.003941190430414041
74,0.0037163041995893794
75,0.0034830522135787475
76,0.0032420531374294397
77,0.002993944613766622
78,0.0027393816419998087
79,0.002479034909062256
80,0.002213589075804853
81,0.0019437410233204993
82,0.0016701980636001652
83,0.001393676119037566
84,0.001114897875409498
85,0.0008345909130529097
86,0.0005534857720891337
87,0.000579664344181088
88,0.00154021086373651
89,0.002492033551120476
90,0.00343268846705127
91,0.004359752873447508
92,0.0052708428821111215
93,0.006163595623546864
94,0.006962035924074342
95,0.007716815131401731
96,0.008447506321409805
97,0.009152256123832464
98,0.009839767749822492
99,0.010588213818364091
100,0.011304632755907802
101,0.011575410242368644
102,0.011203275266110545
103,0.010803026342785833
104,0.010375829357045134
105,0.009922914777442431
106,0.009445580278684477
107,0.008945187267064152
108,0.00842315722634007
109,0.00788096789331719
110,0.007320149272956267
111,0.006742279509376105
112,0.00586194618544001
113,0.004159457803866439
114,0.0024844835428260684
115,0.0018464214522214873
116,0.0015117078478316388
117,0.0011745282152411532
118,0.0008358145528567297
119,0.0004965014059566598
120,0.00015752350895686183
121,-0.00018018679297695332
122,-0.0005157021205422664
123,-0.0008481026279409411
124,-0.0011764785543334003
125,-0.0014999327519066175
126,-0.0018175831833820062
127,-0.0021285653818413574
128,-0.002432034865810755
129,-0.0027271695026317485
130,-0.0030131718132743435
131,-0.003289262907790873
132,-0.0037438146222143875
133,-0.004273377603619821
134,-0.004788200430857092
135,-0.0052868806934205596
136,-0.005768063994931634
137,-0.006230447742779122
138,-0.006672784847399348
139,-0.007093887269493917
140,-0.007492629404495847
141,-0.007867951294000055
142,-0.0082188616543357
143,-0.00854444071288977
144,-0.008843842843376075
145,-0.009116298991751606
146,-0.009360941084350812
147,-0.008964377181737563
148,-0.008363874099082926
149,-0.0077422594164523175
150,-0.00710140472800595
151,-0.006443234079540662
152,-0.005769718330548776
153,-0.005082869409716115
154,-0.004384734441401336
155,-0.003677389759958083
156,-0.0029629348291847837
157,-0.002243486084544861
158,-0.0015211707161281202
159,-0.0007981204105887207
160,-7.646507049196549e-05
161,0.0006416734703410906
162,0.0013541877167927551
163,0.0020589907489668045
164,0.0027540224065430315
165,0.0034372554023109282
166,0.004106701346357102
167,0.00476041666253288
168,0.005396508379097829
169,0.006013139775731308
170,0.006608535869448963
171,0.00718098872237761
172,0.007728862554756125
173,0.008250598647115531
174,0.008744720016133078
175,0.009209835849276428
176,0.009644645684022677
177,0.010047943331467756
178,0.010571044039331986
179,0.011913252699532346
180,0.013211590067534936
181,0.01446278630139779
182,0.015663195801792408
183,0.01680933549006696
184,0.01789789541844275
185,0.01892574886067052
186,0.019889961850369457
187,0.020787802135898675
188,0.021616747522397024
189,0.022374493573306984
190,0.023058960645646498
191,0.023668300235123712
192,0.024200900609386233
193,0.024655391709868843
194,0.025030649304836644
195,0.025325798378569474
196,0.025540215743805487
197,0.025673531867193802
198,0.02572563221860772
199,0.0256571932789007
200,0.025290325700888894
201,0.02448351802865892
202,0.02360374177320561
203,0.022654068456114618
204,0.021637763587481814
205,0.020558296561230333
206,0.019419329525296024
207,0.01822470562617469
208,0.01697843666382647
209,0.015684690195020744
210,0.014347776125103693
211,0.012972132829999216
212,0.01156231285204822
213,0.010122968214746984
214,0.008658835402905487
215,0.0071747200559881845
216,0.005675481423578261
217,0.00416601663289198
218,0.0026512448190416085
219,0.0011360911694139086
220,-0.0003745290659768222
221,-0.0018757265459575113
222,-0.0033626537391630226
223,-0.004830520702196807
224,-0.006274610682889859
225,-0.0076902954968697205
226,-0.00907305062625348
227,-0.010418469990000163
228,-0.01172228033633431
229,-0.012980355208731418
230,-0.01418872843807573
231,-0.015343607115152773
232,-0.01644138399912838
233,-0.017478649319390124
234,-0.01845220192998011
235,-0.01935905977776294
236,-0.02019646964784215
237,-0.020961916151895493
238,-0.02165312992756991
239,-0.022268095019542387
240,-0.022805055415484096
241,-0.02326252071311839
242,-0.023639270897257307
243,-0.02393436020872209
244,-0.024147120089934516
245,-0.02427716119514362
246,-0.02432437445650708
247,-0.02428893120029672
248,-0.02417128231080895
249,-0.023972156442635638
250,-0.02369255728541772
251,-0.023333759888470088
252,-0.02289730605583936
253,-0.022384998825660793
254,-0.02179889605071756
255,-0.021141303100530418
256,-0.020414764708319374
257,-0.018975943478160756
258,-0.014570781091641477
259,-0.01013849595062104
260,-0.005695950246656501
261,-0.0012585408667376236
262,0.003158392345343474
263,0.007539619739920022
264,0.011870074654999653
265,0.01613490566698752
266,0.020319528114604333
267,0.02440967471398306
268,0.0283914450853865
269,0.03225135401512782
270,0.03597637828043618
271,0.0395540018693104
272,0.04297225943264236
273,0.04621977781131666
274,0.049285815487457606
275,0.052160299816127964
276,0.05483386190094197
277,0.057297868985198376
278,0.05954445423809785
279,0.06156654382505258
280,0.06335788116047968
281,0.06491304825103514
282,0.06622748404758494
283,0.06729749973411531
284,0.06812029089344282
285,0.06869394650036326
286,0.06901745470412941
287,0.06909070537372553
288,0.06891448939054655
289,0.06849049468583134
290,0.06782129903148056
291,0.06691035960485826
292,0.0657619993599033
293,0.06438139024840529
294,0.0627745333477837
295,0.060948235962615505
296,0.05891008577869024
297,0.05666842215918612
298,0.05423230468345214
299,0.05161147903983118
300,0.04881634039358591
301,0.04585789436091583
302,0.042747715729006645
303,0.03949790507117013
304,0.036121043414513165
305,0.03263011348787115
306,0.02708949613423383
307,0.020196595994811738
308,0.013268570813516846
309,0.006331300004024366
310,-0.00058937447912414
311,-0.007467746597327461
312,-0.014278341952223165
313,-0.02099601264797322
314,-0.027596030933951268
315,-0.03405418127379973
316,-0.04034685049174048
317,-0.046451115652836446
318,-0.052344829342144204
319,-0.058006702016307456
320,-0.06341638111143419
321,-0.06855452660237155
