,H
0,-5.880096670717281e-230
1,-8.327159124482865e-209
2,-1.2230342946593013e-201
3,-1.0959909675753763e-194
4,-5.854457736092243e-188
5,1.277137781649929e-181
6,7.648510117487067e-174
7,1.009027523471906e-166
8,8.422263071340398e-160
9,3.868655498443519e-153
10,-2.0721921703933616e-146
11,-6.839407933039988e-139
12,-8.224657852521125e-132
13,-6.378550538952975e-125
14,-2.381481343998034e-118
15,2.501690524097591e-111
16,5.985457649323651e-104
17,6.626317917919676e-97
18,4.7504757819924375e-90
19,1.2873695487507905e-83
20,-2.6655817058368168e-76
21,-5.144462494467038e-69
22,-5.277363278412744e-62
23,-3.46772912782994e-55
24,-4.997934601795839e-49
25,2.645441286975289e-41
26,4.3531173601206815e-34
27,4.1539824573500214e-27
28,2.4685763704248904e-20
29,-5.143400319789324e-15
30,-6.098756251965137e-06
31,-6.8477313276283e-05
32,-0.00013035113084869992
33,-0.00019169253643085723
34,-0.0002523785082855807
35,-0.0003122874360969545
36,-0.00037129937100416604
37,-0.00042929627295633485
38,-0.0004861622548782936
39,-0.0005417838231237356
40,-0.000596050113697025
41,-0.0006488531237295302
42,-0.0007000879377027292
43,-0.0007496529479202722
44,-0.0007974500687384563
45,-0.0008433849440756446
46,-0.0008873671477302582
47,-0.000929310376050573
48,-0.0009691326325143795
49,-0.0010067564037891902
50,-0.0010421088268604522
51,-0.001075121846828545
52,-0.0011057323649962833
53,-0.0011338823768869888
54,-0.0011595190998513144
55,-0.0011825950899424166
56,-0.001203068347756496
57,-0.0012209024129631024
58,-0.001236066447270275
59,-0.0012485353055928787
60,-0.0012582895952170522
61,-0.0012653157227753232
62,-0.001269605928878568
63,-0.001271158310273469
64,-0.001269976829421455
65,-0.0012660713114212444
66,-0.0012594574282227995
67,-0.0012501566701136405
68,-0.0012381963044823677
69,-0.0012236093218939508
70,-0.0012064343695375572
71,-0.001186715672136704
72,-0.0011645029404434059
73,-0.0011398512674628707
74,-0.0011128210125852262
75,-0.001083477673826053
76,-0.001051891748407931
77,-0.0010181385819439002
78,-0.0009822982065085192
79,-0.0009444551679103271
80,-0.0009046983425028533
81,-0.0008631207439007444
82,-0.0008198193199917452
83,-0.0007748947406584804
84,-0.0007284511766483048
85,-0.0006805960700500759
86,-0.0006314398968622252
