,H
0,1.5845853263869625e-209
1,2.259075966317325e-188
2,3.317971158883411e-181
3,2.973315169240476e-174
4,1.5882565193862297e-167
5,-3.4647485715967243e-161
6,-2.074965198364974e-153
7,-2.737391940699285e-146
8,-2.284876727109267e-139
9,-1.0495279996270893e-132
10,5.6216525465007495e-126
11,1.8554637727461952e-118
12,2.2312683843384333e-111
13,1.7304377167626566e-104
14,6.46072350490037e-98
15,-6.786839129249748e-91
16,-1.623795501066251e-83
17,-1.79765455778784e-76
18,-1.288757126799693e-69
19,-3.4925063444521493e-63
20,7.231459706596367e-56
21,1.3956418277996522e-48
22,1.431696496916458e-41
23,9.40760637964351e-35
24,1.355890258773451e-28
25,-7.17682074086734e-21
26,-1.1809577143654367e-13
27,-2.0375899093839494e-06
28,-0.00015664048839386332
29,-0.0003175381418355978
30,-0.00047681075058158856
31,-0.0006340446182179355
32,-0.0007888320699980452
33,-0.000940772531407436
34,-0.0010894735895343774
35,-0.0012345520345810686
36,-0.0013756348786583058
37,-0.001512360349048679
38,-0.0016443788531885473
39,-0.0017713539126756968
40,-0.001892963063683041
41,-0.0020088987212319672
42,-0.002118869004863764
43,-0.002222598523351384
44,-0.002319829116185031
45,-0.002410320549677124
46,-0.002493851165635945
47,-0.002570218480684103
48,-0.002639239734430614
49,-0.002700752384828652
50,-0.002754614549194323
51,-0.002800705389490373
52,-0.002838925440641709
53,-0.0028691968808002774
54,-0.0028914637426268063
55,-0.0029056920648209547
56,-0.0029118699832787333
57,-0.0029100077614435983
58,-0.002900137759576036
59,-0.0028823143428347163
60,-0.0028566137282343717
61,-0.0028231337707052195
62,-0.0027819936886742665
63,-0.002733333729746754
64,-0.00267731477724039
65,-0.0026141178984923127
66,-0.002543943836022619
67,-0.0024670124428234075
68,-0.00238356206319218
69,-0.0022938488606946607
70,-0.0021981460949932444
71,-0.002096743349433677
72,-0.001989945711441631
73,-0.0018780729079140458
74,-0.001761458397933712
75,-0.0016404484252612525
76,-0.0015154010331929267
77,-0.0013866850444944835
78,-0.0012546790092279193
79,-0.00111977012339636
80,-0.0009823531214246909
81,-0.0008428291455907068
82,-0.0007016045955993539
83,-0.0005590899615625073
84,-0.0004156986437103783
85,-0.0002718457622132541
86,-0.0001279469605395137
87,1.5582794193204444e-05
88,0.00015833041039282688
89,0.00029988586719900196
90,0.00043984340221902733
91,0.0005778026883021116
92,0.00071336999587699
93,0.0008461593374060232
94,0.0009757935905458492
95,0.0011019095376668855
96,0.0012957393007087105
97,0.0015240631163412719
98,0.001746728335264125
99,0.0019631011806973088
100,0.002172567659221229
101,0.0023745353808503258
102,0.0025684352197913748
103,0.00277360492096539
104,0.0029879296414050895
105,0.003192265012640948
106,0.003386040324873752
107,0.003568717564423879
108,0.003739792904303869
109,0.0038987981914339917
110,0.0040453026380061425
111,0.004247276535563566
112,0.0045064342707164485
113,0.0047506827207703176
114,0.0049793421567209265
115,0.0051917812101154774
116,0.005387418794527666
117,0.005565725833689435
118,0.005726226833374098
119,0.005868501291816168
120,0.005992184943984604
121,0.006096970835484692
122,0.006182610174101126
123,0.006632180915336017
124,0.008564162571164059
125,0.010460047721932741
126,0.010943194826451627
127,0.011575101936389887
128,0.012168048428774702
129,0.012720343014474347
130,0.013230435866824477
131,0.01369691091678651
132,0.014118490142039334
133,0.01449403743072895
134,0.014822562006825779
135,0.015103221405400066
136,0.01533532398743735
137,0.015518330985267767
138,0.015651858071022845
139,0.015735676442142934
140,0.015769713419434134
141,0.015754052554669936
142,0.015688933246303383
143,0.015574749863306826
144,0.015412026987501822
145,0.014648821298204552
146,0.013555442086379361
147,0.012424975172856016
148,0.01126114633549827
149,0.0100677784486926
150,0.008848779259031884
151,0.00760812886463668
152,0.006349866954964533
153,0.005078079851564188
154,0.0037968873910597806
155,0.002510429692261921
156,0.0012228538498375862
157,-6.169940263542482e-05
158,-0.0013391090171304548
159,-0.002605286899955854
160,-0.0038561911293741136
161,-0.005391613204630878
162,-0.007708691302031699
163,-0.009988029999353666
164,-0.012222525158562042
165,-0.014405088738798795
166,-0.016528819163701865
167,-0.01858702365897873
168,-0.020573239917915636
169,-0.02248125702230022
170,-0.02430513554839208
171,-0.02603922679006858
172,-0.027678191033759698
173,-0.029217014823011436
174,-0.03065102715353759
175,-0.03197591454298558
176,-0.03318773492319655
177,-0.03428293030630612
178,-0.03525833818035491
179,-0.03611120159394648
180,-0.03683917789382498
181,-0.03744034608354603
182,-0.03791321277587891
183,-0.03825671671657152
184,-0.038470231861573764
185,-0.03855356899476727
186,-0.0385069758779416
187,-0.03833113592981452
188,-0.03802716543607822
189,-0.03759660929720664
190,-0.03704143532588772
191,-0.036364027110665685
192,-0.03556717546759892
193,-0.03465406850665416
194,-0.03362828034422823
195,-0.03249373855705015
196,-0.0327606890003095
197,-0.03419943780970451
198,-0.03551331541047732
199,-0.03669833858962975
200,-0.03775098168220708
201,-0.03866818214115887
202,-0.039447350486856735
203,-0.04008637862913291
204,-0.04058364653038084
205,-0.04093802718389862
206,-0.041148889887228646
207,-0.0412161017966251
208,-0.04114002775440603
209,-0.040921528387060896
210,-0.0405619564778945
211,-0.04006315162401178
212,-0.03942743319387574
213,-0.03865759160736274
214,-0.03775687796634981
215,-0.036728992069547904
216,-0.0355780688512535
217,-0.03430866328707305
218,-0.03309297712656598
219,-0.03342175020811542
220,-0.03182280893854442
221,-0.02900813118457389
222,-0.026106744454353337
223,-0.023129280385339335
224,-0.02008661195028424
225,-0.016989812763679623
226,-0.013850117440082096
227,-0.010678881377929028
228,-0.007487540111887228
229,-0.004287568378738649
230,-0.0010904390432764524
231,0.0020924179683553348
232,0.0052496565801371875
233,0.008370055174866659
234,0.011442556753152137
235,0.014456308496885102
236,0.01740070059331479
237,0.02026540417806205
238,0.02304040825827927
239,0.025716055480400964
240,0.028283076610700855
241,0.0307326236015176
242,0.03305630112063081
243,0.035246196426699246
244,0.03729490747917257
245,0.03919556917740853
246,0.040941877630562125
247,0.042528112366557576
248,0.043949156395982514
249,0.045200514054049734
250,0.04627832655219872
251,0.047179385179243936
252,0.04790114210034529
253,0.048441718711014985
254,0.048799911511897165
255,0.048975195479846835
256,0.04896772491988749
257,0.04877833179192513
258,0.048408521515591586
259,0.047860466265646676
260,0.0471369957805374
261,0.046241585715695366
262,0.045178343582531914
263,0.043951992323216386
264,0.042567851580172955
265,0.04103181672866913
266,0.03935033574905472
267,0.037530384023713455
268,0.0355794371516995
269,0.03350544188182503
270,0.031316785272692056
271,0.029022262194825735
272,0.02663104129680162
273,0.024152629563229222
274,0.02159683559833203
275,0.018973731774128977
276,0.016293615386712274
277,0.013566968968342454
278,0.010804419906572228
279,0.00801669952480347
280,0.005214601781044244
281,0.0024089417434994126
282,-0.0003880315641087843
283,-0.0001779001228112796
284,0.0008476481147894028
285,0.0018638811739350551
286,0.002866916138950498
287,0.003852933349287643
288,0.004818191230917689
289,0.005759040664316419
290,0.0066719389859343
291,0.00755346356823697
292,0.00840032492491766
293,0.009209379289562648
294,0.009977640618142332
295,0.010702291967775621
296,0.01138069620660517
297,0.012010406012097626
298,0.012589173117789112
299,0.013114956771520352
300,0.013585931371132698
301,0.014000493246846058
302,0.014357266562740044
303,0.014655108313287403
304,0.014893112394517377
305,0.015070612732921741
306,0.015187185459009532
307,0.015242650116043236
308,0.015237069898514966
309,0.015170750918776992
310,0.01504424050406786
311,0.014858324530122749
312,0.01461402380128319
313,0.014312589491121587
314,0.013955497661306486
315,0.0135444428801753
316,0.013081330966175092
317,0.012568270884813933
318,0.012007565831476337
319,0.01140170353568007
320,0.010753345825608
321,0.01006531749480744
322,0.009340594515842557
323,0.008582291648577708
324,0.007793649493209359
325,0.006978021040565227
326,0.006138857774307352
327,0.005279695381646256
328,0.004404139130932081
329,0.0035158489758962764
330,0.0026185244475743267
331,0.0017158893959088085
332,0.0008116766438060282
333,-9.038738312532664e-05
334,-0.0009865979877246671
335,-0.001873289872797115
336,-0.0008912364155630928
337,0.0031872181699842588
338,0.007227774297707266
339,0.011213712972308821
340,0.01512875159703696
341,0.018956959070386654
342,0.022682821304659824
343,0.026291304946749926
344,0.029767919033972474
345,0.033098774326011285
346,0.03627064006297629
347,0.03927099791063282
348,0.04208809286498497
349,0.04471098090095033
350,0.04712957316310475
351,0.049334676510496334
352,0.0513180302434549
353,0.05307233885567584
354,0.054591300671721715
355,0.055869632246947264
356,0.056903088424783435
357,0.057688477965283314
358,0.05822367467698618
359,0.0585076240035836
360,0.05854034503561709
361,0.05832292793753234
362,0.05785752680029186
363,0.05714734794893282
364,0.05619663375433644
365,0.05501064201721026
366,0.053595621012358145
367,0.05195878029996548
368,0.05010825742884127
369,0.04805308067468929
370,0.045803159192251267
371,0.04341918246128876
372,0.0408742741631505
373,0.03816798821725369
374,0.03531286107164009
375,0.0323220290319593
376,0.029209169708053453
377,0.025988441168833483
378,0.022674419072053108
379,0.019281891429348975
380,0.013066177701397817
381,0.005204922292393062
382,-0.002629981098579596
383,-0.010404296478582252
384,-0.018084179790144397
385,-0.025636328748969033
386,-0.03302812811165964
387,-0.04022779173515322
388,-0.047204500799714784
389,-0.05392853758289744
390,-0.06037141419124367
391,-0.06650599567856451
392,-0.07230661700347596
393,-0.07774919330604309
394,-0.08281132301137493
395,-0.08747238330077635
396,-0.09171361752449322
397,-0.09551821416533195
398,-0.09887137700019373
399,-0.1017603861442579
400,-0.10417464970530117
401,-0.10610574581665165
