,H0_Seed1673852098,H1_Seed1673852123,H2_Seed1673852146,H3_Seed1673852170,H4_Seed1673852195,H5_Seed1673852219,H6_Seed1673852245,H7_Seed1673852270,H8_Seed1673852295,H9_Seed1673852320
0,0.0,-1.8974058246882184e-218,0.0,-1.2523986265912797e-287,0.0,-4.271546771934268e-41,0.0,2.1814114190573e-311,1.7893907067576417e-130,3.0741498261161585e-119
1,0.0,-2.151282464738702e-197,0.0,-4.975728471748019e-267,0.0,2.543290889102082e-19,0.0,6.512242982171844e-291,-5.871571972031226e-108,-5.287054950924651e-97
2,0.0,-3.1596516801737955e-190,0.0,-7.307998407248489e-260,0.0,3.73540595558048e-12,0.0,9.564722354034084e-284,-8.623750042484728e-101,-7.765252742338847e-90
3,0.0,-2.831441209193243e-183,0.0,-6.54887625014105e-253,0.0,-1.9876894686149037e-05,0.0,8.571181816543097e-277,-7.727953496040543e-94,-6.958633051997143e-83
4,0.0,-1.5124716701017965e-176,0.0,-3.4982148904182795e-246,0.0,-0.00011194856508767208,0.0,4.578470368633237e-270,-4.128042882428087e-87,-3.717094785371485e-76
5,0.0,3.299425498716811e-170,5e-324,7.631283043250212e-240,-5e-324,-0.00020340632806140004,5e-324,-9.987837906665879e-264,9.005239711470855e-81,8.108764982799641e-70
6,0.0,1.9759566799620212e-162,0.0,4.5702152425800356e-232,0.0,-0.0002940207486353882,0.0,-5.98150648885164e-256,5.3930490533759483e-73,4.856169154368111e-62
7,0.0,2.606775234187661e-155,0.0,6.029243469799746e-225,0.0,-0.000383598809482561,0.0,-7.891085435424309e-249,7.114764636119278e-66,6.406487355215774e-55
8,0.0,2.1758521229074642e-148,0.0,5.032555945461826e-218,0.0,-0.00047194943942342434,0.0,-6.5866188889391936e-242,5.9386308165187195e-59,5.347438064244077e-48
9,0.0,9.994489851225384e-142,-5e-324,2.3116382217853036e-211,5e-324,-0.0005588839392418196,-5e-324,-3.025476545320207e-235,2.7278317676548503e-52,2.4562751714818355e-41
10,0.0,-5.353411185130997e-135,-5e-324,-1.238197256358291e-204,5e-324,-0.0006442164053628622,-5e-324,1.620554947693931e-228,-1.461125611561344e-45,-1.3156700514488897e-34
11,0.0,-1.7669289292537092e-127,0.0,-4.0867523093669945e-197,0.0,-0.0007277641504067827,0.0,5.34874927313557e-221,-4.822542156880467e-38,-4.3424564167876945e-27
12,0.0,-2.1248017423599144e-120,0.0,-4.914480873436509e-190,0.0,-0.0008093481196280212,0.0,6.432082007853991e-214,-5.799297191806246e-31,-5.2219751500748583e-20
13,0.0,-1.6478685851647765e-113,0.0,-3.811376130902939e-183,0.0,-0.0008887933022451262,0.0,4.988336401766382e-207,-4.497586512611031e-24,-4.049850219324912e-13
14,0.0,-6.152445244362054e-107,5e-324,-1.4230068563816833e-176,-5e-324,-0.0009659291366692458,5e-324,1.8624341072238815e-200,-1.6792088276778463e-17,-1.0166361854535753e-05
15,0.0,6.463000017464426e-100,5e-324,1.4948354633596575e-169,-5e-324,-0.0010405899086385823,5e-324,-1.9564435260195492e-193,1.763969649717844e-10,-0.0004323312226595307
16,0.0,1.54631488265586e-92,0.0,3.5764912855782316e-162,5.15254e-318,-0.0011126151412715233,-6.65e-321,-4.680918664994246e-186,0.00015535849953191545,-0.0008653800906385807
17,0.0,1.7118781242811976e-85,0.0,3.959424605000031e-155,5.7042249227287e-311,-0.001181849126966468,-7.361596704e-314,-5.182102529067872e-179,0.0005108466384982856,-0.00129455378968036
18,0.0,1.2272631153311401e-78,0.0,2.8385524102031538e-148,4.089417786189845e-304,-0.0010859420561467135,-5.277604740654551e-307,-3.715102847325697e-172,0.0008635867875435867,-0.0017189079840504201
19,0.0,3.32585878865317e-72,-5e-324,7.692420934512848e-142,1.1082241383107611e-297,-0.0008048996218354365,-1.4302204548061643e-300,-1.0067855296211842e-165,0.001212803172138138,-0.002137507819225545
20,0.0,-6.886405190982764e-65,-5e-324,-1.5927653824452132e-134,-2.294649575888936e-290,-0.0005233364030080694,2.9613637229119533e-293,2.084614392243039e-158,0.0015577235162461565,-0.00254943006810492
21,0.0,-1.3290477327759193e-57,0.0,-3.0739713416155403e-127,-4.428578818375064e-283,-0.00024188055067279822,5.715309559505246e-286,4.023219596998942e-151,0.001897572703037134,-0.002953765266025141
22,0.0,-1.36338202635413e-50,0.0,-3.153383564286294e-120,-4.542985638793185e-276,3.883739605385029e-05,5.8629574667066405e-279,4.1271544665816226e-144,0.0019484639521483076,-0.003349619829249479
23,0.0,-8.958715395787456e-44,0.0,-2.0720726355582137e-113,-2.985173238199132e-269,0.000318187761904744,3.8525201525758124e-272,2.711932645866427e-137,0.0018207127864695164,-0.003736118151799016
24,0.0,-1.2911929396361717e-37,5e-324,-2.9864165109032216e-107,-4.3024411854482506e-263,0.0005955431738942679,5.552522433241111e-266,3.9086276663710644e-131,0.0016894287836896813,-0.004112404675484123
25,0.0,6.834373364423557e-30,0.0,1.5807308753528035e-99,2.2773118205075957e-255,0.0008702800044869845,-2.9389884546526895e-258,-2.0688636062435282e-123,0.001554914376441062,-0.0044776459279906354
26,0.0,1.1246074325933862e-22,0.0,2.6011187808467493e-92,3.747354238809926e-248,0.0011417798161374902,-4.8361540761254724e-251,-3.40434925711812e-116,0.001417479982752798,-0.004831032523893238
27,0.0,1.073161865378425e-15,0.0,2.4821296765645883e-85,3.575930185598698e-241,0.0014094308037859667,-4.614922486889267e-244,-3.2486160888560896e-109,0.0012774430512078134,-0.005171781123476114
28,0.0,6.3774511561232265e-09,0.0,1.4750487588260438e-78,2.125058747623719e-234,0.0016726292318610596,-2.7424980050967375e-237,-1.9305466491187998e-102,0.0011351273580770176,-0.005499136344303069
29,0.0,-0.00046873339141654386,-5e-324,-3.073336660255798e-73,-4.427664451927647e-229,0.0019307808623125963,5.7141295224095704e-232,4.0223889248244943e-97,0.0009908622847815119,-0.005812372620525365
30,0.0,-0.0016702124496513133,0.0,-1.4969663998657866e-64,-2.156634839292621e-220,0.0021833023701751846,2.7832485812903835e-223,1.9592324998160218e-88,0.0008449820772191329,-0.006110796004979371
31,0.0,-0.003382748615936291,0.0,-2.170563387206754e-57,-3.127065926240158e-213,0.0024296227431520783,4.0356399907109005e-216,2.8408375308277337e-81,0.0006978250885553269,-0.006393745909207683
32,0.0,-0.00507954457404242,0.0,-1.929906088282289e-50,-2.780358134245509e-206,0.0026691846616959023,3.5881956887781395e-209,2.5258647956931717e-74,0.0005497330071371822,-0.00666059677660853
33,0.0,-0.0067567100466856085,0.0,-1.0156782632926497e-43,-1.4632573772735497e-199,0.002901445856080988,1.8884091757951744e-202,1.3293216621153982e-67,0.0004010500712506999,-0.006910759684060056
34,0.0,-0.008410388857148142,5e-324,2.513235836297295e-37,3.6207439020838904e-193,0.003125880436970024,-4.6727569012092e-196,-3.289327890472985e-61,0.00025212227249136814,-0.007143683867466816
35,0.0,-0.010036775409887178,0.0,1.370418647863957e-29,1.9743212677834036e-185,0.0033419801960022704,-2.5479635065958314e-188,-1.793606558899225e-53,0.00010329654956819917,-0.007358858166812679
36,0.0,-0.011662930399574408,0.0,1.7882971192264645e-22,2.576346316587695e-178,0.0035492558729604312,-3.324907907408728e-181,-2.34052670496353e-46,-4.508002559291694e-05,-0.0075558123894623585
37,0.0,-0.013851586792921025,0.0,1.4807808046157267e-15,2.133316735028194e-171,0.0037472383861066076,-2.7531553641039713e-174,-1.938048761662212e-39,-0.0001926610675376664,-0.007769116505213388
38,0.0,-0.01600458908976948,-5e-324,6.669620064594138e-09,9.60872267910112e-165,0.003935480022346931,-1.2400552600458678e-167,-8.729211552887506e-33,-0.00033910170081754513,-0.008187675144386314
39,0.0,-0.018109781269287,-5e-324,-0.0006561572926833481,-5.575828017205721e-158,0.004113555583932405,7.195893869313416e-161,5.065458122806943e-26,-0.0004840593853915811,-0.008584628846664905
40,0.0,-0.020162282871059867,0.0,-0.0017827218745431058,-1.7608559106942148e-150,0.004281063488477892,2.2724754446173366e-153,1.5996802355435772e-18,-0.0006271947418890365,-0.008959410569345684
41,0.0,-0.022157333544910222,0.0,-0.0028997892281196654,-2.097249326900023e-143,0.0044376268191512165,2.7066085121875816e-146,1.905282696256564e-11,-0.0007681723747015957,-0.009311174279257583
42,0.0,-0.02409030491551782,0.0,-0.004004726000874074,-1.6128493966789748e-136,0.0045828943219713356,2.0814653984801155e-139,3.3880768446192056e-05,-0.0009066616908534252,-0.009639127863431938
43,0.0,-0.025956712204685747,5e-324,-0.005094924924975393,-5.853205434047996e-130,0.004716541347268787,7.553863743418107e-133,0.00014541010125250413,-0.0010423377125871234,-0.009942535237196019
44,0.0,-0.027752225579759166,5e-324,-0.006167811498326711,6.607948498252901e-123,0.00483827073245262,-8.527898626105158e-126,0.00025605882180194234,-0.0011748818815928228,-0.01022071832946577
45,0.0,-0.02947268119748873,0.0,-0.0072208503279336585,1.537683753055559e-115,0.004947813623350944,-1.984460255483841e-118,0.000365572907432483,-0.0013039828528059356,-0.01047305893919289
46,0.0,-0.03111409191294615,0.0,-0.008251551418758647,1.6875157491728587e-108,0.005044930231500333,-2.1778261805018005e-111,0.00047369163695958635,-0.001429337275696707,-0.010699000457127603
47,0.0,-0.032672657623649064,0.0,-0.009257476353339492,1.1987343596853634e-101,0.005129410524902499,-1.547028567448637e-104,0.0005801574176936445,-0.0015506505609840671,-0.010898049447355503
48,0.0,-0.034144775219699594,-5e-324,-0.010164093953669451,3.0963299255722366e-95,0.005201074849916959,-3.9959735953207423e-98,0.00068471642453293,-0.001667637630722534,-0.011069777083380592
49,0.0,-0.035527048111323435,-5e-324,-0.010890582978333061,-6.972754968017192e-88,0.005259774482093466,8.998700205918883e-91,0.000787119233870971,-0.0017800236497257493,-0.011213820433807893
50,0.0,-0.03681629530600329,0.0,-0.011587126525078833,-1.3192007865566976e-80,0.0053053921039134914,1.702496709562737e-83,0.0008871214506767123,-0.0018875447363169886,-0.01132988359302615
51,0.0,-0.03800956000808392,0.0,-0.012252084228482087,-1.3422491323462062e-73,0.005337842207553129,1.7322417895137532e-76,0.0009844843271000357,-0.001989948650418889,-0.01141773865259069
52,0.0,-0.03910411771479861,0.0,-0.012883894852321064,-8.728627097739881e-67,0.005357071420975009,1.1264743823941298e-69,0.0010789753709610642,-0.0020869954570376173,-0.011477226509417977
53,0.0,-0.04009748378366112,5e-324,-0.013481077176176982,-1.1173046460351415e-60,0.005363058755833193,1.4419393187439942e-63,0.0011703689424892962,-0.002178458163237831,-0.01150825750727575
54,0.0,-0.04098742044718272,0.0,-0.014042233950883833,6.877908176448621e-53,0.005355815775851178,-8.87629552559856e-56,0.0012584468376884933,-0.002264123326748133,-0.011510811908424767
55,0.0,-0.041771943252083776,0.0,-0.014566055668152477,1.114468589170322e-45,0.005335386684531212,-1.4382792409683874e-48,0.0013429988567206824,-0.002343791634391647,-0.011484940192688054
56,0.0,-0.04244932690122279,0.0,-0.015051324133012883,1.0551220718504371e-38,0.005301848331227424,-1.361689497018336e-41,0.0014238233557169722,-0.0024172784485837727,-0.011430763181592793
57,0.0,-0.0430181104780287,0.0,-0.015496915828188611,6.193692918246002e-32,0.005255310134850496,-7.993280417062582e-35,0.0015007277804556097,-0.002484414320216316,-0.011348471985730989
58,0.0,-0.043477102034505166,-5e-324,-0.015901805059904538,-2.627192515318562e-26,0.005195913924664726,3.39052755145268e-29,0.0015735291803745906,-0.0025450454663105224,-0.011238327773896353
59,0.0,-0.04382538252531385,0.0,-0.0162650668750763,-6.485634719172029e-18,0.005123833697847905,8.370046380610906e-21,0.0016420547014195915,-0.0025990342108946148,-0.011100661363002182
60,0.0,-0.04406230907197817,0.0,-0.016585879740321774,-9.286301669559264e-11,0.0050392752937014704,1.19844516449237e-13,0.0017061420562670673,-0.0026462593876413207,-0.010935872628248827
61,0.0,-0.044187517542674096,0.0,-0.016863527973692134,0.00048808571637972266,0.004942475984599473,1.0572426471325378e-06,0.0017656399704987368,-0.002686616702875194,-0.01074442973343961
62,0.0,-0.04420092443501433,0.0,-0.017097403920680734,0.002741572847766901,0.004833703980349453,0.0017005559583233856,0.001820408603362365,-0.0027200190576661407,-0.010526868181892142
63,0.0,-0.044102728050761056,5e-324,-0.01728700986658613,0.0049781307805017464,0.004648088719725704,0.003797724398061529,0.0018703199417992962,-0.002746396827809191,-0.010283789688827325
64,0.0,-0.0438934089531959,0.0,-0.01743195967793009,0.007189240659004951,0.00412854619385219,0.005875176842610796,0.0019152581664766946,-0.0027656981005910906,-0.01001586087661186
65,0.0,-0.04357372969963708,0.0,-0.01753198016625316,0.008876559763352328,0.0036009899443600374,0.00792769786162182,0.0019551199886207868,-0.0027778888673441345,-0.009723811794707455
66,0.0,-0.04314473384336501,0.0,-0.017586912168241566,0.010498473484098507,0.0030668209429115818,0.009950132031589913,0.0019898149565076963,-0.0027829531708890593,-0.009408434266653286
67,0.0,-0.04260774420136701,-5e-324,-0.01759671133693554,0.012085757179826405,0.002527412256513045,0.011937397391407738,0.0020192657305484756,-0.002780893207095974,-0.009070580066954893
68,0.0,-0.04196436038604479,5e-323,-0.017561448639406903,0.013634434961522718,0.001984151180693513,0.013884498755317585,0.0020434083259687806,-0.0027717293798944454,-0.008711158931195914
69,0.0,-0.04121645560105824,1.608986405e-315,-0.01748131055706122,0.015140627499645412,0.001438435710074896,0.01578654087992653,0.0020621923221628992,-0.0027555003091860974,-0.008331136403190312
70,0.0,-0.04036617270336313,1.898260349134752e-308,-0.01735659898543498,0.016600562369905123,0.0008916709597965629,0.017638010443393956,0.0020755810378762464,-0.0027322627912272205,-0.007931531523454459
71,0.0,-0.03941591953553665,1.4474725106824623e-301,-0.017187730831145234,0.018010584182778934,0.000345265546901211,0.018181296403508775,0.002083551671454189,-0.0027020917111739797,-0.007513414363763609
72,0.0,-0.038368363534670435,5.098804229681898e-295,-0.016975237304515667,0.019367164466121925,-0.000199372059025455,0.018350351742251803,0.002086095405489988,-0.002665079907620423,-0.007077903413058368
73,0.0,-0.03722642562597524,-6.1879017648421174e-288,-0.0167197629071407,0.02066691127237399,-0.0007408372064881506,0.018471000260180084,0.002083217475285412,-0.0026213379890764723,-0.006626162820394103
74,0.0,-0.03599327341135819,-1.4020960069545944e-280,-0.016422064114506484,0.021906578482331344,-0.0012777327443523282,0.018543034916428846,0.0020749372006338336,-0.002570994102468897,-0.006159399501093747
75,0.0,-0.03467231366513667,-1.5254477271140433e-273,-0.016083007754559595,0.02308307477788475,-0.0018086727059710003,0.018566375216213977,0.002061287980522446,-0.0025141936538704314,-0.005678860112683122
76,0.0,-0.03326718415120758,-1.0735822233023184e-266,-0.01570356908400961,0.024193472256783418,-0.0023322859852731893,0.018541067779574778,0.0020423172504537962,-0.0024510989818036406,-0.005185827907640954
77,0.0,-0.03178174477805851,-2.6333929951420407e-260,-0.015284829565026442,0.025235014956403193,-0.002847219994840566,0.01846728662308333,0.002018086402189557,-0.0023818889836040463,-0.00468161947041632
78,0.0,-0.030220068109893947,6.46994593987346e-253,-0.014827974345793844,0.025629110029218118,-0.0033521442959344476,0.018345333103512076,0.0019886706658140594,-0.0023067586954531602,-0.004167581346643581
79,0.0,-0.028586429254187397,1.2007019620609832e-245,-0.014334289449264872,0.02516593856300304,-0.0038457541904081778,0.018175635520784685,0.001954158954121806,-0.002225918826831268,-0.0036468760096772636
80,0.0,-0.026885295147785867,1.211774872790278e-238,-0.013805158675252656,0.02463855994285259,-0.004326774264415175,0.017958748378361877,0.0019146536977695224,-0.002139595250263549,-0.0019524405585733848
