,H
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,5e-324
6,0.0
7,0.0
8,0.0
9,-5e-324
10,-5e-324
11,0.0
12,0.0
13,0.0
14,5e-324
15,5e-324
16,0.0
17,0.0
18,0.0
19,-5e-324
20,-5e-324
21,0.0
22,0.0
23,0.0
24,5e-324
25,0.0
26,0.0
27,0.0
28,0.0
29,-5e-324
30,0.0
31,0.0
32,0.0
33,0.0
34,5e-324
35,0.0
36,0.0
37,0.0
38,-5e-324
39,-5e-324
40,0.0
41,0.0
42,0.0
43,5e-324
44,5e-324
45,0.0
46,0.0
47,0.0
48,-5e-324
49,-5e-324
50,0.0
51,0.0
52,0.0
53,5e-324
54,0.0
55,0.0
56,0.0
57,0.0
58,-5e-324
59,0.0
60,0.0
61,0.0
62,0.0
63,5e-324
64,0.0
65,0.0
66,0.0
67,-5e-324
68,-5e-324
69,0.0
70,0.0
71,0.0
72,5e-324
73,5e-324
74,0.0
75,0.0
76,0.0
77,-5e-324
78,0.0
79,0.0
80,0.0
81,0.0
82,5e-324
83,0.0
84,0.0
85,0.0
86,0.0
87,-5e-324
88,0.0
89,0.0
90,0.0
91,0.0
92,5e-324
93,0.0
94,0.0
95,0.0
96,-5e-324
97,-5e-324
98,0.0
99,0.0
100,0.0
101,5e-324
102,5e-324
103,0.0
104,0.0
105,0.0
106,-5e-324
107,0.0
108,0.0
109,0.0
110,5.53e-322
111,5.25271494e-316
112,-4.680539139657649e-308
113,-7.362222932488935e-301
114,-6.861296946474475e-294
115,-3.9267112486505015e-287
116,3.454696014374248e-281
117,4.3778672103757566e-273
118,6.11683355803818e-266
119,5.311974523072823e-259
120,2.666762596992191e-252
121,-9.153100889708201e-246
122,-3.970304770819078e-238
123,-5.0190934923658145e-231
124,-4.0565712209220464e-224
125,-1.7149678514440213e-217
126,1.2520616345930983e-210
127,3.514603605106235e-203
128,4.0698283387076303e-196
129,3.0504125639875127e-189
130,1.0074998572307294e-182
131,-1.4153511359111444e-175
132,-3.0501181545426957e-168
133,-3.2621639976521523e-161
134,-2.2527719482953087e-154
135,-4.917258806579316e-148
136,1.4551189439795265e-140
137,2.6027741091490042e-133
138,2.5846662080389136e-126
139,1.6274636362491594e-119
140,1.2470691955269861e-113
141,-1.4113789319564131e-105
142,-2.188434018190243e-98
143,-2.023578155390876e-91
144,-1.1429857351366482e-84
145,1.2806997822270264e-78
146,1.3150187459706321e-70
147,1.8156440792648052e-63
148,1.5643627498878971e-56
149,7.723725258594592e-50
150,-2.920418165843856e-43
151,-1.1890651784224922e-35
152,-1.4878075098792084e-28
153,-1.1927209304657742e-21
154,-4.928716679903593e-15
155,3.874718625637483e-08
156,-0.0012223125726550889
157,-0.0030087570186214264
158,-0.004775907215480805
159,-0.006518161550051143
160,-0.008230009286614982
161,-0.009906048008016536
162,-0.011541001055328024
163,-0.013129734587659746
164,-0.014667274205170396
165,-0.016148821079438123
166,-0.017569767554317772
167,-0.019155506213913064
168,-0.022241974134773485
169,-0.025236079751230628
170,-0.028131165184730782
171,-0.03091810862898921
172,-0.033588161313907614
173,-0.036132976231000855
174,-0.03854463557284111
175,-0.04081567679129298
176,-0.04293911718326211
177,-0.04490847691691912
178,-0.0467178004166785
179,-0.04836167603004007
180,-0.04983525390491858
181,-0.051134262011647
182,-0.052255020249697304
183,-0.05319445258584858
184,-0.053950097176579406
185,-0.05452011443426478
186,-0.05490329300328246
187,-0.05509905361925419
188,-0.055107450832060874
189,-0.054929172580143175
190,-0.054565537611105816
191,-0.054018490750629734
192,-0.053290596029515566
193,-0.052385027686151574
194,-0.051305559068887154
195,-0.0500565494703206
196,-0.04864292893243459
197,-0.047070181069284116
198,-0.045344323960859204
199,-0.04347188917224056
200,-0.04167191852114617
201,-0.044069427750032
202,-0.04635904966345833
203,-0.04847505712311537
204,-0.05041078820760215
205,-0.05250005330825171
206,-0.05498689494746514
207,-0.05726778607431797
208,-0.05933553798687139
209,-0.061183756663436964
210,-0.06280683180439604
211,-0.06419995608921912
212,-0.06535914162210953
213,-0.0662812335000762
214,-0.06696392044745138
215,-0.06740574247070441
216,-0.06760609549810483
217,-0.06756523297982017
218,-0.06728426443438686
219,-0.06676515093867401
220,-0.06601069756892992
221,-0.06502454281210966
222,-0.06381114497774165
223,-0.0623757656512836
224,-0.06072445024102368
225,-0.05886400568083669
226,-0.056801975362478684
227,-0.05454661138122408
228,-0.0521068441887157
229,-0.04949224975684788
230,-0.04671301436569726
231,-0.04377989713840101
232,-0.04070419045424941
233,-0.03749767837966532
234,-0.03417259326119107
235,-0.030681805085372386
236,-0.023227627960657405
237,-0.015554887413626269
238,-0.007869119270323834
239,-0.00019864574284898933
240,0.007428337684455674
241,0.014983866263915116
242,0.022440309216032205
243,0.02977047180134285
244,0.03694769584901722
245,0.043945958362877804
246,0.050739967831545614
247,0.05730525787634202
248,0.06361827787937328
249,0.06965648024355925
250,0.07539840394829257
251,0.08082375407725378
252,0.08591347700861574
253,0.0906498309734041
254,0.09501645170330134
255,0.09899841290804232
256,0.10258228134092003
257,0.1057561662305311
258,0.10850976287775402
259,0.11083439023755426
260,0.11272302232933488
261,0.11417031337969653
262,0.11610004821218144
263,0.12013211409335187
264,0.12367931398461171
265,0.12673052549243058
266,0.12927614654033184
267,0.13130854633764003
268,0.13282209267721118
269,0.1338131715117334
270,0.13428019871730204
271,0.13422362398183704
272,0.1336459267871026
273,0.13255160448291925
274,0.13094715248399694
275,0.12884103665157792
276,0.12624365795206235
277,0.12316730951616404
278,0.11962612625140395
279,0.1156360271922016
280,0.11121465080110245
281,0.10638128346284466
282,0.10115678144126108
283,0.09556348659498697
284,0.08962513617546973
285,0.08336676705481001
286,0.07681461475433472
287,0.06999600766701344
288,0.06293925688697498
289,0.055673542079634125
290,0.048228793842550376
291,0.040635573022951406
292,0.03292494747163313
293,0.025128366725002196
294,0.017277535117471914
295,0.00940428383403535
296,0.0015404424189440326
297,-0.0062822897396315755
298,-0.014032471427005103
299,-0.021679046600024152
300,-0.029191469846765426
301,-0.03653982979355877
302,-0.043694969951368595
303,-0.05062860650248823
304,-0.057313442539876434
305,-0.0637232782841382
306,-0.06983311681849845
307,-0.07561926489826602
308,-0.08105942841107512
309,-0.0861328020850454
310,-0.09082015306424089
311,-0.09510389799538284
312,-0.09896817329445015
313,-0.10239889829081773
314,-0.10538383097476485
315,-0.10791261610415581
316,-0.10997682545741472
317,-0.11156999005104799
318,-0.11268754021594746
319,-0.11116088073744476
320,-0.10805951291634315
321,-0.10452392642413312
322,-0.1005709541544173
323,-0.09621913033437532
324,-0.09148861000980474
325,-0.08640108154752969
326,-0.08097967265822217
327,-0.07524885032873452
328,-0.06923431508097416
329,-0.06296288999886315
330,-0.05646240498898648
331,-0.049761576761794546
332,-0.042889885040656744
333,-0.035877445523776065
