,H
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,5e-324
97,-2.120134e-317
98,-6.17613028196064e-310
99,-7.218468344389292e-303
100,-5.457324812326236e-296
101,-1.863038054364421e-289
102,2.4317101463259057e-282
103,5.3708261235354076e-275
104,5.79336175486601e-268
105,4.039072017474525e-261
106,9.368798265838326e-255
107,-2.520620596173058e-247
108,-4.591176915532813e-240
109,-4.596138629623352e-233
110,-2.925829909890502e-226
111,-2.7585094042106677e-220
112,2.458026261736721e-212
113,3.866336072160832e-205
114,3.603270388471386e-198
115,2.0621469201402925e-191
116,-1.8142639717936658e-185
117,-2.299075438195969e-177
118,-3.212308897695327e-170
119,-2.7896301023875967e-163
120,-1.4004738133019945e-156
121,4.806831369618746e-150
122,2.0850404414070463e-142
123,2.6358210552755666e-135
124,2.1303440257877077e-128
125,9.006304383117418e-122
126,-6.575311705157934e-115
127,-1.845724969534427e-107
128,-2.1373061176964873e-100
129,-1.6019509649832617e-93
130,-5.290974039267392e-87
131,7.432840871201047e-80
132,1.6017963532761867e-72
133,1.7131540912426312e-65
134,1.1830629859922812e-58
135,2.5823416751130755e-52
136,-7.641685010065766e-45
137,-1.366869696581437e-37
138,-1.3573601731814073e-30
139,-8.546768307160899e-24
140,-6.549093472669533e-18
141,7.411980493058431e-10
142,-0.00104012297869726
143,-0.003911503491638162
144,-0.006753102466355217
145,-0.009554959601788916
146,-0.012307377292010082
147,-0.015000851203123205
148,-0.01762610381968441
149,-0.02017411724232886
150,-0.022636165116877723
151,-0.025003843577448188
152,-0.027265387680940008
153,-0.03136322878172112
154,-0.03559953966210981
155,-0.039684366270966664
156,-0.043603671947330724
157,-0.04734404257350821
158,-0.050892734654007385
159,-0.054237721065322694
160,-0.057367734283109297
161,-0.060272306921085976
162,-0.06294180942451072
163,-0.06536748477115642
164,-0.06754148004313966
165,-0.06945687474348
166,-0.0711077057428855
167,-0.07248898875347581
168,-0.07359673623934405
169,-0.07442797168643632
170,-0.07498074016720256
171,-0.07525411514910493
172,-0.07524820150915902
173,-0.07496413473177162
174,-0.07440407628077235
175,-0.07357120515087245
176,-0.07246970561813408
177,-0.07110475122299661
178,-0.06948248503480707
179,-0.06760999626038111
180,-0.06549529327345008
181,-0.06314727315554375
182,-0.06057561886711217
183,-0.05652709432075405
184,-0.051598413322912665
185,-0.04650359934383335
186,-0.041262576789002366
187,-0.03547532274855335
188,-0.028921175756719673
189,-0.022295346598931183
190,-0.015623359924636288
191,-0.008930834121197556
192,-0.0022434057131949466
193,0.004413368785577648
194,0.011014110825222514
195,0.017533717199045052
196,0.023947456470344755
197,0.03023106407015155
198,0.03636083569289225
199,0.042313718621871436
200,0.04806740062296093
201,0.05360039605220993
202,0.058892128833218566
203,0.06392301197057243
204,0.06867452327784128
205,0.07312927701207886
206,0.07727109112100072
207,0.08108504982625948
208,0.08455756128281136
209,0.08767641007304117
210,0.09043080431342529
211,0.09281141717182684
212,0.0948104226160989
213,0.09642152523606588
214,0.09764016322108618
215,0.09694153180447881
216,0.09520223037412687
217,0.093093204255218
218,0.09062446032641927
219,0.08780741833890846
220,0.08465486426951373
221,0.08118089776222978
222,0.07740087422891258
223,0.07333134183006973
224,0.06898997357876117
225,0.06439549483083117
226,0.059567606445778506
227,0.05452690392100998
228,0.04929479281986942
229,0.04389340083047715
230,0.03834548680734014
231,0.03267434716236354
232,0.026903719983801446
233,0.02105768727268733
234,0.015160575695630887
235,0.009236856260709485
236,0.0033110433294896834
237,-0.0025924066176142026
238,-0.008449195318251092
239,-0.014938474998018304
240,-0.022534718138829055
241,-0.02999096087272132
242,-0.03727673747590468
243,-0.04436244189854613
244,-0.051219385005760544
245,-0.05781991359075228
246,-0.06413752510709361
247,-0.07014697762672883
248,-0.07582439454897137
249,-0.08114736360526853
250,-0.0860950297278874
251,-0.09064818137531412
252,-0.09478932993307179
253,-0.09850278183718295
254,-0.10177470309602421
255,-0.10459317591939339
256,-0.10694824719587877
257,-0.10883196859351615
258,-0.11023842809415946
259,-0.11116377280699377
260,-0.11160622294594198
261,-0.11156607689235115
262,-0.1110457073029084
263,-0.11004954826126986
264,-0.10858407351013588
265,-0.10665776584151271
266,-0.10428107776032845
267,-0.10146638357560844
268,-0.09822792311089447
269,-0.09458173726312728
270,-0.0905455956771072
271,-0.08613891683703964
272,-0.08138268091168978
273,-0.07629933572206189
274,-0.07091269623296091
275,-0.0652478380002582
276,-0.05933098503322124
277,-0.05318939255805561
278,-0.04685122519258115
279,-0.04034543106505706
280,-0.03370161242987625
281,-0.02694989335010323
282,-0.020120785032058112
283,-0.013245049409530928
284,-0.006353561585556925
285,0.0005228282534751116
286,0.00735343283217844
287,0.014107865068128556
288,0.020756174021365918
289,0.02726897889570797
290,0.03361751570366477
291,0.03781785035048985
292,0.04119564493443096
293,0.044365405020083196
294,0.047313758001191794
295,0.0500283781313699
296,0.05249804081289565
297,0.05471267198058362
298,0.05666339223131907
299,0.05834255548900446
300,0.059743782018464815
301,0.060861985627705395
302,0.06169339492355803
303,0.062235568513368957
304,0.06248740407353809
305,0.06244914123331228
306,0.06212235825122054
307,0.06150996248949049
308,0.06061617472177609
309,0.059446507338313706
310,0.058007736541001324
311,0.05630786864960328
312,0.05435610066748505
313,0.052162775283973985
314,0.04973933051659803
315,0.047098244222259444
316,0.0442529737313776
317,0.04121789088238571
318,0.03800821275761896
319,0.03463992844222099
320,0.031129722147643653
321,0.02749489305951702
322,0.023753272286274617
323,0.01992314580229846
324,0.018764517226854717
325,0.020279454500957587
326,0.019261480204786303
327,0.012119810353404231
328,0.004967743753247687
329,-0.0021614837725922407
330,-0.009233792996727079
331,-0.0162154948603589
332,-0.02307345183242786
333,-0.029775236554108145
