,H
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-5e-324
6,0.0
7,0.0
8,0.0
9,5e-324
10,5e-324
11,0.0
12,0.0
13,0.0
14,-5e-324
15,-5e-324
16,0.0
17,0.0
18,0.0
19,5e-324
20,5e-324
21,0.0
22,0.0
23,0.0
24,-5e-324
25,0.0
26,0.0
27,0.0
28,0.0
29,5e-324
30,0.0
31,0.0
32,0.0
33,0.0
34,-5e-324
35,0.0
36,0.0
37,0.0
38,5e-324
39,5e-324
40,0.0
41,0.0
42,0.0
43,-5e-324
44,-5e-324
45,0.0
46,0.0
47,0.0
48,5e-324
49,5e-324
50,0.0
51,0.0
52,0.0
53,-5e-324
54,0.0
55,0.0
56,0.0
57,0.0
58,5e-324
59,0.0
60,0.0
61,0.0
62,0.0
63,-5e-324
64,0.0
65,0.0
66,0.0
67,5e-324
68,5e-324
69,0.0
70,0.0
71,0.0
72,-5e-324
73,-5e-324
74,0.0
75,0.0
76,0.0
77,5e-324
78,0.0
79,0.0
80,0.0
81,0.0
82,-5e-324
83,0.0
84,0.0
85,0.0
86,0.0
87,5e-324
88,0.0
89,0.0
90,0.0
91,0.0
92,-5e-324
93,0.0
94,0.0
95,0.0
96,5e-324
97,5e-324
98,0.0
99,0.0
100,0.0
101,-5e-324
102,-5e-324
103,0.0
104,0.0
105,0.0
106,5e-324
107,0.0
108,0.0
109,0.0
110,0.0
111,-5e-324
112,0.0
113,0.0
114,0.0
115,0.0
116,5e-324
117,0.0
118,0.0
119,0.0
120,0.0
121,-5e-324
122,0.0
123,0.0
124,0.0
125,5e-324
126,5e-324
127,0.0
128,0.0
129,0.0
130,-5e-324
131,-5e-324
132,0.0
133,0.0
134,0.0
135,5e-324
136,0.0
137,0.0
138,-3e-323
139,-1.6510638e-316
140,-1.26515322349295e-310
141,1.431845651980527e-302
142,2.2201689869694897e-295
143,2.052922512611403e-288
144,1.1595604256769024e-281
145,-1.2992714948149166e-275
146,-1.3340881254901827e-267
147,-1.8419731381666454e-260
148,-1.587047922304525e-253
149,-7.835728717639699e-247
150,2.962767799664021e-240
151,1.2063080772248807e-232
152,1.5093825377209527e-225
153,1.210016842141979e-218
154,5.000189097461384e-212
155,-3.93090678282186e-205
156,-1.0653044289790181e-197
157,-1.2223300450321335e-190
158,-9.082059532663066e-184
159,-2.896684971811381e-177
160,4.3840059902478516e-170
161,9.226679994187505e-163
162,9.785030327147078e-156
163,6.692354478244228e-149
164,1.3668373870084916e-142
165,-4.472265712553316e-135
166,-7.859829376649287e-128
167,-7.742749263779684e-121
168,-4.8213315428160285e-114
169,-2.8158573509103857e-108
170,4.3155044927582617e-100
171,6.598407418676527e-93
172,6.053668706704234e-86
173,3.373664431557236e-79
174,-4.6233541909473175e-73
175,-4.005851159624215e-65
176,-5.4666475708486984e-58
177,-4.673018740042736e-51
178,-2.2678927138350946e-44
179,9.403901914417559e-38
180,3.61172203667815e-30
181,4.473604957940673e-23
182,3.557029668053858e-16
183,1.4353860788997814e-09
184,-0.0015985334361649831
185,-0.005404421951176881
186,-0.009160729635006998
187,-0.01285023848049697
188,-0.016456067134603198
189,-0.01996176673086004
190,-0.023351397629173664
191,-0.026609603872899214
192,-0.029721685003602786
193,-0.03267366488473035
194,-0.035452357197600405
195,-0.03804542728743946
196,-0.040441450052295796
197,-0.04262996358577684
198,-0.04460151830328082
199,-0.046347721301575946
200,-0.04786127572339261
201,-0.049136014920896975
202,-0.05016693123719223
203,-0.0509501992495883
204,-0.0514831933445423
205,-0.051764499521020524
206,-0.051793921346128785
207,-0.05157248001626916
208,-0.05110240850487617
209,-0.05038713980693587
210,-0.04943128931921546
211,-0.04824063142412174
212,-0.04682207037493433
213,-0.045183605607997786
214,-0.043334291635995226
215,-0.041284192703566126
216,-0.03904433241383368
217,-0.036626638560838795
218,-0.034043883427368055
219,-0.031309619831856816
220,-0.028438113230247135
221,-0.02544427020054504
222,-0.02234356365748949
223,-0.01915195516261615
224,-0.015885814711524456
225,-0.012561838394511722
226,-0.009196964339828488
227,-0.005808287359193406
228,-0.0024129727237419242
229,0.0009718304949751216
230,0.004329076079952748
231,0.0076419068786478615
232,0.010893740127177358
233,0.014068351450627277
234,0.017149957106057528
235,0.02012329404153332
236,0.022973670875749672
237,0.028181056464744052
238,0.03501710217472036
239,0.04162691498538616
240,0.047977577408660585
241,0.05403760602310419
242,0.059675014182765204
243,0.06392693197438598
244,0.06781915646271791
245,0.07133217843709162
246,0.07444957883482708
247,0.07715705156280372
248,0.079442475724647
249,0.08129597643051203
250,0.08270997384065545
251,0.08367922015521143
252,0.08420082432462135
253,0.08427426432003522
254,0.08390138686696129
255,0.08308639461425193
256,0.08183582077675458
257,0.08015849135696176
258,0.07806547511831252
259,0.07557002154809474
260,0.07268748711600548
261,0.06943525019743131
262,0.0658326150935165
263,0.06190070564070084
264,0.05766234896044442
265,0.053141949957408244
266,0.04836535722584982
267,0.04335972107390945
268,0.0381533444210002
269,0.0327755273658195
270,0.02725640626108379
271,0.021626788163751055
272,0.01591798155867352
273,0.010161624277522095
274,0.0043895095543863075
275,-0.0013665888266553546
276,-0.007075091328166438
277,-0.012704786499254906
278,-0.019125736699160362
279,-0.031644339167906946
280,-0.04388849987711763
281,-0.05580316420806212
282,-0.06732379311277581
283,-0.07838826174306598
284,-0.08893720234091623
285,-0.09891433174928137
286,-0.10826676167238203
287,-0.11694528990446147
288,-0.12490467084456922
289,-0.1321038637301572
290,-0.13850625714111672
291,-0.1440798684560276
292,-0.14879751707975056
293,-0.15263697040517366
294,-0.15558106162883137
295,-0.15761777869503368
296,-0.1587403238074715
297,-0.15894714311268165
298,-0.15824192633035053
299,-0.15663357628161861
300,-0.15413614843706303
301,-0.15076876078162912
302,-0.1465554744643062
303,-0.14152514587409767
304,-0.13571125095369935
305,-0.12915168272456368
306,-0.12188852315815527
307,-0.11396779067957909
308,-0.10543916474046057
309,-0.09635569093910434
310,-0.08920624564090363
311,-0.08394960135412625
312,-0.07823773386535558
313,-0.07210666693807279
314,-0.06559476704665675
315,-0.058742503251458716
316,-0.05159220403403459
317,-0.04418780316960877
318,-0.036574576132551224
319,-0.028798868590577828
320,-0.020907818595911655
321,-0.01294907412448323
322,-0.004970507647735216
323,0.002980070554906833
324,0.01085519862245278
325,0.018608047154564714
326,0.026192699353995492
327,0.033564425571543766
328,0.04067995058539367
329,0.047497711985297245
330,0.05397810808161003
331,0.06008373381703914
332,0.06577960322820096
333,0.07103335708291539
334,0.07581545440489561
335,0.08009934669327874
336,0.08386163374515603
337,0.08708220010160188
338,0.0897443312542468
339,0.09183480887116692
340,0.09334398442921886
341,0.09426583076956366
342,0.09459797123249611
343,0.09434168616466473
344,0.093501896732025
345,0.09208712611343746
346,0.09010943828959037
347,0.08758435478668566
348,0.08453074987122816
