,H
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,5e-324
6,0.0
7,0.0
8,0.0
9,-5e-324
10,-5e-324
11,0.0
12,0.0
13,0.0
14,5e-324
15,5e-324
16,0.0
17,0.0
18,0.0
19,-5e-324
20,-5e-324
21,0.0
22,0.0
23,0.0
24,5e-324
25,0.0
26,0.0
27,0.0
28,0.0
29,-5e-324
30,0.0
31,0.0
32,0.0
33,0.0
34,5e-324
35,0.0
36,0.0
37,0.0
38,-5e-324
39,-5e-324
40,0.0
41,0.0
42,0.0
43,5e-324
44,5e-324
45,0.0
46,0.0
47,0.0
48,-5e-324
49,-5e-324
50,0.0
51,0.0
52,0.0
53,5e-324
54,0.0
55,0.0
56,0.0
57,0.0
58,-5e-324
59,0.0
60,0.0
61,0.0
62,0.0
63,5e-324
64,0.0
65,0.0
66,0.0
67,-5e-324
68,-5e-324
69,0.0
70,0.0
71,0.0
72,5e-324
73,5e-324
74,0.0
75,0.0
76,0.0
77,-5e-324
78,0.0
79,0.0
80,0.0
81,0.0
82,5e-324
83,0.0
84,0.0
85,0.0
86,0.0
87,-5e-324
88,0.0
89,0.0
90,0.0
91,0.0
92,5e-324
93,0.0
94,0.0
95,0.0
96,-5e-324
97,-5e-324
98,0.0
99,0.0
100,0.0
101,5e-324
102,5e-324
103,0.0
104,0.0
105,0.0
106,-5e-324
107,0.0
108,0.0
109,0.0
110,0.0
111,5e-324
112,0.0
113,0.0
114,0.0
115,0.0
116,-5e-324
117,0.0
118,0.0
119,0.0
120,0.0
121,5e-324
122,0.0
123,0.0
124,0.0
125,-5e-324
126,-5e-324
127,0.0
128,0.0
129,0.0
130,5e-324
131,5e-324
132,0.0
133,0.0
134,0.0
135,-5e-324
136,0.0
137,0.0
138,0.0
139,0.0
140,5e-324
141,0.0
142,0.0
143,0.0
144,0.0
145,-5e-324
146,0.0
147,0.0
148,2.5e-323
149,1.26420544e-316
150,-4.78008780107393e-310
151,-1.9462404461575951e-302
152,-2.435216508202805e-295
153,-1.952224115191302e-288
154,-8.067234600884235e-282
155,6.342069588393991e-275
156,1.7187471478422967e-267
157,1.972090063151523e-260
158,1.4652866817851644e-253
159,4.673470698201535e-247
160,-7.073093462196368e-240
161,-1.4886195431720393e-232
162,-1.578702998770695e-225
163,-1.0797350371340682e-218
164,-2.2052361715379295e-212
165,7.215490453941909e-205
166,1.2680937914228928e-197
167,1.249204251063353e-190
168,7.778668343615387e-184
169,4.5430645540859227e-178
170,-6.962574111827258e-170
171,-1.0645777509827539e-162
172,-9.766903751254671e-156
173,-5.443022634449715e-149
174,7.459254475048332e-143
175,6.462983789412402e-135
176,8.819812126055113e-128
177,7.53938255842471e-121
178,3.6589861334282525e-114
179,-1.5172122779470726e-107
180,-5.827101418591815e-100
181,-7.217651173569089e-93
182,-5.738861522065835e-86
183,-2.3158316646860343e-79
184,1.9587717282030278e-72
185,5.1339675264794266e-65
186,5.837471631379065e-58
187,4.299299002748517e-51
188,1.3214338439252991e-44
189,-2.157264013356895e-37
190,-4.4378372414253454e-30
191,-4.667046826287513e-23
192,-3.160867272472461e-16
193,-6.000103720491432e-10
194,0.0015671356725339527
195,0.0052522294645223865
196,0.008900233312087818
197,0.012499432931624628
198,0.01603825612399841
199,0.01950533629511052
200,0.022889550122638727
201,0.026180054566659637
202,0.02936632309634858
203,0.03243818100641746
204,0.03538583969898615
205,0.03819992980901841
206,0.040871533054144676
207,0.04339221269347779
208,0.04575404248356616
209,0.047949634023941694
210,0.0499721623892044
211,0.051815389949542406
212,0.05347368828748025
213,0.054942058124117794
214,0.05621614717448019
215,0.05729226585782216
216,0.058167400795761236
217,0.05883922603859159
218,0.05930611196723983
219,0.059567131826252
220,0.059622065850719635
221,0.059471402958687844
222,0.059116339988988936
223,0.05855877847271787
224,0.05780131893538897
225,0.056847252735085306
226,0.05570055145139766
227,0.05436585384857111
228,0.05284845044505072
229,0.051154265730526026
230,0.04928983807998056
231,0.047262297423618455
232,0.04507934073970256
233,0.042749205445786566
234,0.04028064077198129
235,0.037682877207727374
236,0.03496559412175958
237,0.032138885662007496
238,0.029213225049391747
239,0.026199427386130302
240,0.02310861110560294
241,0.019952158197009552
242,0.016741673343352394
243,0.013488942116423146
244,0.010205888376992274
245,0.006904531032594513
246,0.0035969403088489714
247,0.00029519369315640084
248,-0.0029886682880040224
249,-0.0062432807428866215
250,-0.006203124260999681
251,-0.0048634691437837285
252,-0.0035135835125604795
253,-0.0021584903853618144
254,-0.0008032248300121613
255,0.0005400545023148563
256,0.0060778839178417055
257,0.012012570119766006
258,0.01786786496491911
259,0.023622139565974098
260,0.029254174892500994
261,0.034743242036609785
262,0.04006918085654426
263,0.04521247668939538
264,0.05015433482895731
265,0.05487675247188482
266,0.059362587842599665
267,0.06359562621645326
268,0.06756064257040502
269,0.07124346060159469
270,0.07463100786728408
271,0.07771136681249409
272,0.08047382146646327
273,0.08290889960390532
274,0.08500841018388502
275,0.0867654758969432
276,0.08817456066867004
277,0.08923149198724234
278,0.08993347794118244
279,0.09027911887485923
280,0.09026841359004752
281,0.08990276004275785
282,0.08918495050655291
283,0.08811916119462959
284,0.08671093635656874
285,0.08496716688747206
286,0.08289606350951031
287,0.08050712460837366
288,0.07781109882864029
289,0.07481994255546114
290,0.07154677243078562
291,0.06800581307374809
292,0.06421234020301442
293,0.06031706604345347
294,0.06475947204250371
295,0.06929862827618988
296,0.07352904004664021
297,0.07743473972612794
298,0.08100111079508708
299,0.08421494792095834
300,0.08706451137314922
301,0.0895395755322811
302,0.09163147126606032
303,0.09333312196885818
304,0.09463907308785632
305,0.09554551498406105
306,0.09605029900402541
307,0.09615294666481412
308,0.0958546518844843
309,0.0951582762192156
310,0.09406833709715817
311,0.09259098906909202
312,0.09073399812473855
313,0.08850670915510768
314,0.08592000667032867
315,0.08298626891186635
316,0.07971931552731126
317,0.07613434900390158
318,0.07224789008656576
319,0.06807770743264235
320,0.06364274178206678
321,0.05896302494711201
322,0.05405959394992387
323,0.048954400660151255
324,0.04367021730588665
325,0.03823053825175431
326,0.0326607890798208
327,0.019451803186335354
328,0.0032139961806352466
329,-0.012936620009711795
330,-0.028930171620697238
331,-0.04469762312514558
332,-0.060171077747657446
333,-0.07528407472120695
334,-0.08997188077046785
335,-0.10417177450917069
336,-0.11782332246122135
337,-0.1308686454466053
338,-0.1432526741092116
339,-0.1549233924047887
340,-0.1658320679151645
341,-0.17593346790526068
342,-0.18518606010086863
343,-0.1935521972273003
344,-0.2009982844170071
345,-0.20749492866713437
346,-0.2130170696025738
347,-0.2175440908856042
348,-0.2210599116953184
349,-0.22355305778865373
350,-0.2250167117448893
351,-0.2254487420876818
352,-0.224851711078438
353,-0.22323286106885512
354,-0.22060407940011692
355,-0.21698184193364026
356,-0.21238713539852913
357,-0.20684535884296673
